Program,Program Desc,College,College Desc,Level,Level Desc,Department,Department Desc,Degree,Degree Desc,Major,Major Desc,Campus,Campus Desc,Major CIP,Major CIP Desc,Combined Ind,Concentration,Concentration Desc,Eff Term,Eff Term Desc,Admission Ind,Student Ind,Outcome Ind,Eff Status,Program Status
BS-POBA,BS Political Sci/Business Adm,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BS,Bachelor of Science,POBA,Political Science/Business Adm,BOS,Boston,451001,Political Sce & Government,Y,MKAN,Marketing Analytics,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-POBA,BS Political Sci/Business Adm,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BS,Bachelor of Science,POBA,Political Science/Business Adm,BOS,Boston,451001,Political Sce & Government,Y,MKTG,Marketing,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-POBA,BS Political Sci/Business Adm,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BS,Bachelor of Science,POBA,Political Science/Business Adm,BOS,Boston,451001,Political Sce & Government,Y,MMIS,Management Information Systems,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-POBA,BS Political Sci/Business Adm,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BS,Bachelor of Science,POBA,Political Science/Business Adm,BOS,Boston,451001,Political Sce & Government,Y,NOCC,No Concentration,202310,Fall 2022 Semester,Y,Y,N,Current,Active
BS-POBA,BS Political Sci/Business Adm,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BS,Bachelor of Science,POBA,Political Science/Business Adm,BOS,Boston,451001,Political Sce & Government,Y,PUPL,Public Policy,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-POBA,BS Political Sci/Business Adm,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BS,Bachelor of Science,POBA,Political Science/Business Adm,BOS,Boston,451001,Political Sce & Government,Y,SEST,Security Studies,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-POBA,BS Political Sci/Business Adm,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BS,Bachelor of Science,POBA,Political Science/Business Adm,BOS,Boston,451001,Political Sce & Government,Y,SIEN,Social Innov & Entrepreneurshp,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-POBA,BS Political Sci/Business Adm,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BS,Bachelor of Science,POBA,Political Science/Business Adm,BOS,Boston,451001,Political Sce & Government,Y,SUPC,Supply Chain Management,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-PRBA-U,Transitional Business UG,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BS,Bachelor of Science,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,,,000000,The Beginning of Time,N,Y,N,Current,Active
BS-PRBA-U,Transitional Business UG,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BS,Bachelor of Science,PRBA,Transitional Business,BOS,Boston,520101,Bus./Commerce,,,,000000,The Beginning of Time,N,Y,N,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,ACAS,Accounting & Advisory Services,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,ACCT,Accounting,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,BMGT,Brand Management,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,BUSA,Business Analytics,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,COIN,Corporate Innovation,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,COIV,Corporate Innovation & Venture,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,ENTS,Entrepreneurial Startups,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,FBUS,Family Business,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,FINA,Finance,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,FINT,Fintech,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,HCMC,Healthcare Mgmt & Consulting,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,INBU,International Business,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,MGMT,Management,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,MKAN,Marketing Analytics,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,MKTG,Marketing,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,MMIS,Management Information Systems,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,NOCC,No Concentration,202310,Fall 2022 Semester,Y,Y,N,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,SIEN,Social Innov & Entrepreneurshp,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,SUPC,Supply Chain Management,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,OAK,"Oakland, CA",520101,Bus./Commerce,,ACAS,Accounting & Advisory Services,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,OAK,"Oakland, CA",520101,Bus./Commerce,,ACCT,Accounting,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,OAK,"Oakland, CA",520101,Bus./Commerce,,BMGT,Brand Management,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,OAK,"Oakland, CA",520101,Bus./Commerce,,BUSA,Business Analytics,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,OAK,"Oakland, CA",520101,Bus./Commerce,,COIN,Corporate Innovation,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,OAK,"Oakland, CA",520101,Bus./Commerce,,ENTS,Entrepreneurial Startups,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,OAK,"Oakland, CA",520101,Bus./Commerce,,FBUS,Family Business,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,OAK,"Oakland, CA",520101,Bus./Commerce,,FINA,Finance,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,OAK,"Oakland, CA",520101,Bus./Commerce,,FINT,Fintech,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,OAK,"Oakland, CA",520101,Bus./Commerce,,HCMC,Healthcare Mgmt & Consulting,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,OAK,"Oakland, CA",520101,Bus./Commerce,,INBU,International Business,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,OAK,"Oakland, CA",520101,Bus./Commerce,,MGMT,Management,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,OAK,"Oakland, CA",520101,Bus./Commerce,,MKAN,Marketing Analytics,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,OAK,"Oakland, CA",520101,Bus./Commerce,,MKTG,Marketing,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,OAK,"Oakland, CA",520101,Bus./Commerce,,MMIS,Management Information Systems,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,OAK,"Oakland, CA",520101,Bus./Commerce,,NOCC,No Concentration,202310,Fall 2022 Semester,Y,Y,N,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,OAK,"Oakland, CA",520101,Bus./Commerce,,SIEN,Social Innov & Entrepreneurshp,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BSBA-BSAD,BSBA Business Administration,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,BSBA,B.S. in Business Admin,BSAD,Business Administration,OAK,"Oakland, CA",520101,Bus./Commerce,,SUPC,Supply Chain Management,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
ND-EXCH-BA-U,ND Exchange Students BA UG,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,ND,Non-Degree,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,,,201130,Spring 2011 Semester,Y,Y,N,Current,Active
ND-EXCH-BA-U,ND Exchange Students BA UG,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,ND,Non-Degree,EXCH,Exchange Program,BOS,Boston,240199,Liberal Arts & Sces Stu & Huma,,,,201130,Spring 2011 Semester,Y,Y,N,Current,Active
ND-SPEC-BA-U,Special Student BA UG,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,ND,Non-Degree,BSAD,Business Administration,BOS,Boston,520101,Bus./Commerce,,,,000000,The Beginning of Time,N,Y,N,Current,Active
ND-SPEC-BA-U,Special Student BA UG,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,ND,Non-Degree,SPEC,Special student,BOS,Boston,240199,Liberal Arts & Sces Stu & Huma,,,,000000,The Beginning of Time,Y,Y,N,Current,Active
ND-SPEC-BA-U,Special Student BA UG,BA,D'Amore-McKim School Business,UG,Undergraduate,BUSN,Business Administration,ND,Non-Degree,VISI,Visiting Student,BOS,Boston,240199,Liberal Arts & Sces Stu & Huma,,,,000000,The Beginning of Time,N,Y,N,Current,Active
ND-EXCH-BA-U,ND Exchange Students BA UG,BA,D'Amore-McKim School Business,UG,Undergraduate,FINA,Finance & Insurance,ND,Non-Degree,FINA,Finance,BOS,Boston,520801,Finance,,,,201130,Spring 2011 Semester,Y,Y,N,Current,Active
BS-AIST-BA,BS Approved Indep Studies BA,BA,D'Amore-McKim School Business,UG,Undergraduate,INBA,Interdisc Studies - Business,BS,Bachelor of Science,AIST,Approved Independent Studies,BOS,Boston,240101,Liberal Arts & Sces/Liberal St,,,,200410,Fall 2003 Semester,N,Y,Y,Current,Active
BS-ECIB,BS Economics/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,ECIB,Economics/Intl Business,BOS,Boston,450603,Econometrics & Quantitative Ec,Y,ACAS,Accounting & Advisory Services,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-ECIB,BS Economics/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,ECIB,Economics/Intl Business,BOS,Boston,450603,Econometrics & Quantitative Ec,Y,ACCT,Accounting,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-ECIB,BS Economics/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,ECIB,Economics/Intl Business,BOS,Boston,450603,Econometrics & Quantitative Ec,Y,BMGT,Brand Management,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-ECIB,BS Economics/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,ECIB,Economics/Intl Business,BOS,Boston,450603,Econometrics & Quantitative Ec,Y,BUSA,Business Analytics,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-ECIB,BS Economics/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,ECIB,Economics/Intl Business,BOS,Boston,450603,Econometrics & Quantitative Ec,Y,COIN,Corporate Innovation,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-ECIB,BS Economics/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,ECIB,Economics/Intl Business,BOS,Boston,450603,Econometrics & Quantitative Ec,Y,ENTS,Entrepreneurial Startups,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-ECIB,BS Economics/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,ECIB,Economics/Intl Business,BOS,Boston,450603,Econometrics & Quantitative Ec,Y,FBUS,Family Business,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-ECIB,BS Economics/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,ECIB,Economics/Intl Business,BOS,Boston,450603,Econometrics & Quantitative Ec,Y,FINA,Finance,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-ECIB,BS Economics/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,ECIB,Economics/Intl Business,BOS,Boston,450603,Econometrics & Quantitative Ec,Y,FINT,Fintech,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-ECIB,BS Economics/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,ECIB,Economics/Intl Business,BOS,Boston,450603,Econometrics & Quantitative Ec,Y,GLBS,Global Business and Strategy,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-ECIB,BS Economics/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,ECIB,Economics/Intl Business,BOS,Boston,450603,Econometrics & Quantitative Ec,Y,HCMC,Healthcare Mgmt & Consulting,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-ECIB,BS Economics/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,ECIB,Economics/Intl Business,BOS,Boston,450603,Econometrics & Quantitative Ec,Y,MGMT,Management,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-ECIB,BS Economics/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,ECIB,Economics/Intl Business,BOS,Boston,450603,Econometrics & Quantitative Ec,Y,MKAN,Marketing Analytics,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-ECIB,BS Economics/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,ECIB,Economics/Intl Business,BOS,Boston,450603,Econometrics & Quantitative Ec,Y,MKTG,Marketing,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-ECIB,BS Economics/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,ECIB,Economics/Intl Business,BOS,Boston,450603,Econometrics & Quantitative Ec,Y,MMIS,Management Information Systems,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-ECIB,BS Economics/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,ECIB,Economics/Intl Business,BOS,Boston,450603,Econometrics & Quantitative Ec,Y,SIEN,Social Innov & Entrepreneurshp,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-ECIB,BS Economics/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,ECIB,Economics/Intl Business,BOS,Boston,450603,Econometrics & Quantitative Ec,Y,SUPC,Supply Chain Management,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-IAIB,BS Intl Affairs/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,IAIB,Intl Affairs/Intl Business,BOS,Boston,450901,International Rel and Affairs,Y,ACAS,Accounting & Advisory Services,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-IAIB,BS Intl Affairs/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,IAIB,Intl Affairs/Intl Business,BOS,Boston,450901,International Rel and Affairs,Y,ACCT,Accounting,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-IAIB,BS Intl Affairs/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,IAIB,Intl Affairs/Intl Business,BOS,Boston,450901,International Rel and Affairs,Y,BMGT,Brand Management,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-IAIB,BS Intl Affairs/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,IAIB,Intl Affairs/Intl Business,BOS,Boston,450901,International Rel and Affairs,Y,BUSA,Business Analytics,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-IAIB,BS Intl Affairs/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,IAIB,Intl Affairs/Intl Business,BOS,Boston,450901,International Rel and Affairs,Y,COIN,Corporate Innovation,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-IAIB,BS Intl Affairs/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,IAIB,Intl Affairs/Intl Business,BOS,Boston,450901,International Rel and Affairs,Y,COIV,Corporate Innovation & Venture,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-IAIB,BS Intl Affairs/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,IAIB,Intl Affairs/Intl Business,BOS,Boston,450901,International Rel and Affairs,Y,ENTS,Entrepreneurial Startups,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-IAIB,BS Intl Affairs/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,IAIB,Intl Affairs/Intl Business,BOS,Boston,450901,International Rel and Affairs,Y,FBUS,Family Business,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-IAIB,BS Intl Affairs/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,IAIB,Intl Affairs/Intl Business,BOS,Boston,450901,International Rel and Affairs,Y,FINA,Finance,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-IAIB,BS Intl Affairs/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,IAIB,Intl Affairs/Intl Business,BOS,Boston,450901,International Rel and Affairs,Y,FINT,Fintech,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-IAIB,BS Intl Affairs/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,IAIB,Intl Affairs/Intl Business,BOS,Boston,450901,International Rel and Affairs,Y,GLBS,Global Business and Strategy,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
BS-IAIB,BS Intl Affairs/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,IAIB,Intl Affairs/Intl Business,BOS,Boston,450901,International Rel and Affairs,Y,HCMC,Healthcare Mgmt & Consulting,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-IAIB,BS Intl Affairs/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,IAIB,Intl Affairs/Intl Business,BOS,Boston,450901,International Rel and Affairs,Y,MGMT,Management,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-IAIB,BS Intl Affairs/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,IAIB,Intl Affairs/Intl Business,BOS,Boston,450901,International Rel and Affairs,Y,MKAN,Marketing Analytics,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-IAIB,BS Intl Affairs/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,IAIB,Intl Affairs/Intl Business,BOS,Boston,450901,International Rel and Affairs,Y,MKTG,Marketing,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-IAIB,BS Intl Affairs/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,IAIB,Intl Affairs/Intl Business,BOS,Boston,450901,International Rel and Affairs,Y,MMIS,Management Information Systems,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-IAIB,BS Intl Affairs/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,IAIB,Intl Affairs/Intl Business,BOS,Boston,450901,International Rel and Affairs,Y,SIEN,Social Innov & Entrepreneurshp,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-IAIB,BS Intl Affairs/Intl Business,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,IAIB,Intl Affairs/Intl Business,BOS,Boston,450901,International Rel and Affairs,Y,SUPC,Supply Chain Management,202310,Fall 2022 Semester,N,Y,Y,Current,Active
BS-PRBA-U,Transitional Business UG,BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BS,Bachelor of Science,INBU,International Business,BOS,Boston,521101,International Bus./Trade/Comme,,,,000000,The Beginning of Time,N,Y,N,Current,Active
BSIB-INBU-NX,BSIB Intl Bus (Non-Exchange),BA,D'Amore-McKim School Business,UG,Undergraduate,INTB,International Bus & Strategy,BSIB,B.S. in International Business,INBU,International Business,BOS,Boston,521101,International Bus./Trade/Comme,,ACAS,Accounting & Advisory Services,202310,Fall 2022 Semester,Y,Y,Y,Current,Active
